Q35,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q53,Q54,Q55,Q56,Q57,Q59,Q60,Q63,Q64,Q65,Q66,Q69,Q70,Q32,Q33,Q34,Q20,Q21,Q38,Q8,Q13
4,3,3,4,4,3,3,2,4,2,4,4,1,3,4,2,3,50,7,1,1,2,16,2,2,2,5,2,3,3,2,2,4,1,4,4
1,5,3,3,3,4,4,3,4,1,1,4,3,4,1,1,1,35,6,1,1,4,41,2,2,2,5,2,1,1,1,1,4,5,4,4
3,4,3,4,3,3,4,4,4,2,4,1,3,2,2,2,1,31,4,1,1,2,20,2,1,2,5,2,4,3,3,3,3,2,3,4
3,4,4,4,4,4,3,2,3,2,4,3,4,3,3,1,1,27,4,1,1,1,21,2,2,1,5,2,3,5,3,3,3,5,4,4
3,5,3,3,3,4,3,4,4,3,3,2,2,3,3,2,2,62,3,1,2,2,53,2,2,99,5,2,3,5,3,3,4,2,4,4
1,3,3,4,3,2,2,4,4,2,4,2,2,4,2,2,2,51,7,4,3,3,15,2,2,1,5,2,2,3,3,1,4,4,3,2
3,4,4,4,2,4,3,4,4,4,4,3,4,4,1,1,3,57,3,1,1,4,48,2,2,2,5,2,4,1,4,3,4,2,3,3
3,4,2,1,4,1,1,2,4,1,4,1,4,1,1,2,2,40,4,1,2,4,41,1,2,1,5,2,4,1,3,2,1,5,2,3
3,4,3,3,3,3,3,2,4,2,4,2,3,4,2,2,2,35,4,1,2,2,41,2,2,2,5,2,3,5,3,2,3,4,2,3
1,3,4,4,3,3,4,1,4,1,3,1,1,1,4,2,2,47,8,1,1,4,41,1,2,1,5,2,1,1,3,1,4,5,4,4
4,5,4,4,4,4,4,4,4,3,4,2,4,4,4,2,4,69,3,1,2,1,65,2,2,99,5,2,1,5,2,4,4,5,4,4
1,3,3,1,1,2,1,4,4,3,4,4,3,4,3,1,2,49,7,1,2,5,41,2,2,1,5,2,1,1,1,2,4,5,3,2
1,2,4,3,3,3,2,3,4,1,4,1,4,4,4,1,2,56,4,1,1,5,41,2,2,1,5,2,2,1,1,1,1,5,2,2
1,3,2,2,2,4,4,4,4,4,4,4,4,4,4,1,1,71,4,1,1,1,21,2,2,1,5,2,1,1,1,4,4,5,4,3
1,1,1,1,4,1,1,4,4,1,1,4,4,4,4,2,2,60,6,1,1,4,25,2,2,1,5,2,4,1,1,4,4,5,1,1
4,5,4,4,3,4,3,4,4,2,4,4,4,4,1,2,2,68,3,1,2,3,66,2,2,1,5,2,3,5,2,3,3,5,4,4
3,1,3,3,1,4,4,4,4,4,4,4,1,4,4,2,4,79,7,7,1,1,24,2,2,1,5,2,3,1,3,4,3,3,1,4
1,3,1,1,1,2,2,2,4,1,4,1,4,4,4,2,2,42,7,1,3,1,41,1,2,2,5,2,5,5,1,4,1,5,1,3
1,3,1,3,4,2,2,4,4,1,4,1,2,4,3,1,2,49,4,1,3,1,41,2,1,1,5,2,3,3,5,3,2,5,3,2
1,5,3,3,3,2,1,4,4,1,4,1,4,4,1,2,2,74,6,1,1,5,41,1,2,1,5,2,4,1,1,4,3,5,3,4
2,3,3,2,2,2,1,4,4,3,2,2,4,4,3,1,2,59,6,1,1,4,41,2,2,1,5,2,3,5,3,4,3,3,4,3
4,2,3,4,3,1,2,4,4,1,2,3,2,4,3,1,2,41,5,1,2,3,41,2,2,2,5,2,5,4,5,3,2,4,2,1
2,3,4,4,3,3,2,3,4,2,4,1,4,4,3,1,2,77,4,1,2,2,60,2,1,2,5,2,2,1,2,4,4,4,3,4
2,2,1,1,2,1,1,4,4,1,4,2,4,4,4,1,2,46,5,1,2,3,41,1,2,2,5,2,3,1,1,4,4,5,3,2
2,1,3,3,3,3,4,3,3,2,4,3,4,4,4,1,2,79,5,7,1,1,10,2,2,1,5,2,5,5,2,4,4,5,3,3
3,3,2,3,1,1,1,4,4,1,4,4,4,4,2,2,2,76,3,1,4,1,65,2,2,1,5,2,3,5,2,4,3,5,3,4
1,2,2,3,2,2,1,3,4,1,4,1,4,2,1,1,2,66,4,1,2,3,54,1,1,1,5,2,3,5,3,2,2,5,3,3
3,3,3,3,3,3,4,2,4,2,3,1,3,4,3,2,3,51,3,1,3,1,41,1,2,2,5,2,5,5,2,1,3,3,3,3
3,3,4,2,4,1,2,3,4,2,4,4,4,3,2,2,2,54,2,1,3,1,41,2,2,2,5,2,5,5,4,3,4,5,4,4
2,3,2,3,4,3,4,3,4,1,4,3,2,4,2,1,1,50,5,1,1,4,41,1,1,1,5,2,2,5,2,1,4,5,2,3
2,3,1,4,2,2,1,4,4,1,4,3,4,2,1,1,2,56,4,1,2,4,45,1,2,2,5,2,3,5,2,2,4,5,1,1
2,5,1,1,1,1,4,1,4,1,4,2,4,4,2,2,1,30,4,1,2,2,41,1,2,2,5,2,3,4,3,1,1,4,4,4
2,3,2,3,1,3,4,2,4,1,4,1,2,4,3,1,3,70,6,1,1,2,58,2,2,1,5,2,2,1,4,3,2,4,2,4
2,5,4,4,3,3,4,4,4,3,4,3,4,4,4,2,1,27,5,1,4,1,41,2,2,2,5,2,2,5,3,4,4,3,4,3
1,4,1,1,1,2,1,2,4,4,4,2,4,4,4,1,2,61,3,1,2,3,41,1,2,2,5,2,3,1,1,3,4,2,3,2
1,4,3,3,2,4,2,4,4,1,4,1,4,4,2,2,2,56,3,1,2,4,44,1,2,1,5,2,2,5,1,3,3,5,3,1
1,3,4,4,3,3,3,4,4,1,4,2,2,1,1,1,1,33,7,1,1,2,26,2,2,2,5,2,4,3,4,4,2,5,3,3
2,3,3,1,2,3,3,4,4,2,4,2,4,4,1,1,2,51,4,1,3,99,41,1,1,2,5,2,2,1,3,2,4,3,2,3
2,4,4,4,3,3,4,3,3,3,2,3,4,3,4,2,99,52,6,99,2,2,25,2,2,1,5,2,5,3,3,1,3,5,3,4
4,5,3,4,4,4,3,4,4,4,4,3,4,4,4,2,3,62,3,1,2,2,60,1,2,2,5,2,5,3,5,3,4,5,3,4
3,3,2,3,3,2,2,4,4,3,3,2,4,4,2,1,2,50,6,1,3,3,41,1,2,2,5,2,2,3,3,3,4,5,3,3
2,1,1,1,1,1,1,4,4,1,4,1,4,4,1,1,2,83,4,1,2,99,66,2,1,2,5,2,3,1,3,3,3,5,1,1
4,5,4,2,4,4,4,4,4,2,4,1,3,2,3,1,2,44,5,1,2,5,41,1,2,1,5,2,3,4,5,3,2,4,4,4
3,2,4,3,3,2,2,4,3,1,4,1,4,3,3,1,2,39,6,1,2,3,41,2,2,2,5,2,3,5,2,2,3,3,1,3
2,3,2,2,4,2,1,2,4,1,4,4,4,4,4,2,2,57,4,1,3,2,52,2,1,1,5,2,3,1,3,3,2,5,3,3
1,5,4,4,3,3,4,3,4,2,4,4,4,4,1,1,1,28,4,1,3,3,41,1,2,2,5,2,4,5,5,4,3,5,4,4
2,5,3,4,4,4,4,3,4,4,4,4,4,3,3,1,1,31,6,1,2,2,25,1,2,1,5,2,1,3,3,4,3,5,4,3
1,1,3,3,1,1,3,1,4,1,4,1,4,2,2,1,2,52,6,1,1,4,65,2,2,1,5,2,2,3,3,4,4,4,2,4
4,5,3,3,3,3,4,4,4,1,4,1,2,3,3,2,3,45,4,1,1,4,41,1,2,2,5,2,5,1,3,4,4,5,4,4
1,5,4,4,4,4,4,4,4,2,4,4,4,3,2,1,1,30,4,1,3,1,41,1,2,2,5,2,3,1,1,3,4,5,4,4
1,1,1,1,1,1,1,4,4,4,2,4,4,4,1,1,2,53,3,1,2,1,41,1,1,1,5,2,5,1,1,1,4,5,1,1
5,5,3,3,3,4,4,2,4,1,4,3,4,4,3,2,2,44,4,1,2,2,41,2,2,1,5,2,3,3,3,3,4,5,4,4
1,5,3,3,4,4,2,4,4,3,4,3,4,4,4,1,1,27,3,1,3,2,41,1,2,2,5,2,2,3,1,3,4,5,2,3
5,3,3,2,4,1,4,3,4,1,3,4,1,4,1,1,1,26,4,1,2,3,41,2,2,1,5,2,5,1,2,4,1,4,4,4
2,3,3,4,2,2,2,4,4,1,4,2,4,4,2,2,2,71,7,1,3,99,67,1,2,2,5,2,2,1,1,2,4,5,3,3
3,5,3,3,2,4,3,4,4,1,4,4,4,4,4,2,2,59,5,1,1,1,23,2,2,99,5,2,5,4,3,2,4,3,2,4
2,4,4,4,4,4,4,3,4,1,1,1,4,4,4,2,2,68,3,1,2,4,47,1,2,2,5,2,3,4,2,3,4,4,4,4
2,3,2,2,3,1,2,2,4,4,4,4,4,4,4,1,2,71,7,1,2,5,59,2,1,2,5,2,3,5,4,3,4,4,3,3
2,4,4,4,3,3,3,3,4,2,4,2,3,4,3,2,2,44,6,1,2,3,41,2,2,2,5,2,3,3,2,3,3,3,4,4
3,4,3,3,3,3,4,3,4,2,3,4,3,4,3,2,2,37,6,1,1,4,25,2,2,1,5,2,3,4,4,3,3,5,4,4
1,2,1,2,1,2,2,2,4,2,3,2,4,3,4,1,1,33,5,4,1,2,17,2,2,1,5,2,4,1,4,2,4,4,2,2
5,5,4,4,4,4,4,3,4,4,4,4,4,4,1,2,2,81,5,1,1,1,26,2,2,1,5,2,5,3,5,4,1,5,4,4
1,4,3,3,2,2,3,3,4,1,4,4,4,4,1,1,3,82,7,1,1,4,41,2,1,2,5,2,3,1,4,3,4,4,4,4
5,3,4,3,1,3,1,1,4,1,1,1,1,1,4,1,2,54,4,1,2,1,41,2,2,1,5,2,4,1,2,3,3,5,3,2
4,5,4,4,4,3,4,4,4,1,1,1,4,4,1,2,2,43,4,1,2,2,41,1,2,1,5,2,3,5,4,4,2,5,4,4
1,3,3,3,3,1,1,4,4,1,4,1,4,4,1,2,2,63,5,1,2,3,41,1,2,1,5,2,1,1,3,3,4,5,3,2
5,5,4,4,1,4,4,4,4,1,4,4,4,4,4,1,3,67,1,1,2,2,66,2,1,1,5,2,5,1,5,1,4,1,4,4
2,2,3,2,4,1,1,4,4,4,4,1,1,3,1,2,2,68,7,1,1,4,30,2,2,1,5,2,2,3,3,1,4,4,1,1
